100	0.9704394000000001 0.002700121189872775
200	0.9858783000000001 0.0014747083813419018
300	0.9889821999999999 0.0010159990944878078
400	0.9924066 0.0011257774380400301
500	0.9934858999999999 0.0009764428759533335
