10	0.5201792999999999 0.005849794236552256
100	0.44778320000000005 0.020796547217266616
200	0.45505559999999995 0.03501255496018535
300	0.4628998999999999 0.023413122057726513
400	0.4674219 0.03045554692810491
500	0.4573956999999999 0.027332008726216953
