10	100	200	300	400	500	naive
1	0.973170731707317	0.16520351157222665	0.09413908290312785	0.08032017664918575	0.07913090128755365	0.07546187874056727	0.017114914425427872
2	0.026829268292682926	0.3136472466081405	0.19465532948679015	0.12807065967430306	0.10300429184549356	0.083008066614624	0.007334963325183374
3	0.0	0.29848363926576216	0.31491041603401154	0.3074799889594259	0.27414163090128757	0.22846734322144158	0.019559902200488997
4	0.0	0.1149241819632881	0.1979957485575463	0.23323212807065968	0.23417381974248927	0.2625552953421806	0.02444987775061125
5	0.0	0.04988028731045491	0.09808685089583966	0.11537399944797129	0.13841201716738197	0.1522248243559719	0.044009779951100246
6	0.0	0.031524341580207504	0.03795930762222897	0.05851504278222468	0.0740343347639485	0.07936507936507936	0.02689486552567237
7	0.0	0.015163607342378291	0.030063771636805344	0.03422577974054651	0.03755364806866953	0.05178246161852719	0.034229828850855744
8	0.0	0.007182761372705506	0.014880048587913756	0.02152911951421474	0.02628755364806867	0.02654176424668228	0.0488997555012225
9	0.0	0.003591380686352753	0.009717582751290617	0.012420645873585427	0.019045064377682403	0.024720270621909967	0.07334963325183375
10	0.0	0.0003990422984836393	0.007591861524445794	0.00883245928788297	0.014216738197424892	0.015873015873015872	0.7041564792176039
